"country_region","sub_region_1","Week_ending","workplaces_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","residential_percent_change_from_baseline"
"Canada","",2020-02-16,0.5,8.5,5,25.5,3.5,-1
"Canada","",2020-02-23,-6.28571428571429,2,0.571428571428571,23.7142857142857,-2.85714285714286,1.57142857142857
"Canada","",2020-03-01,2,1.57142857142857,2.42857142857143,7.42857142857143,0.714285714285714,0.714285714285714
"Canada","",2020-03-08,0.714285714285714,5,4.14285714285714,15.8571428571429,-0.285714285714286,0.571428571428571
"Canada","",2020-03-15,-0.714285714285714,-2.14285714285714,14.8571428571429,8,-10.8571428571429,2.57142857142857
"Canada","",2020-03-22,-36.7142857142857,-36,1.28571428571429,8.71428571428571,-48.4285714285714,14.4285714285714
"Canada","",2020-03-29,-53,-53.4285714285714,-21.8571428571429,-15.7142857142857,-65.1428571428571,21
"Canada","",2020-04-05,-56.1428571428571,-55,-26.1428571428571,-19.1428571428571,-67.8571428571429,21.8571428571429
"Canada","",2020-04-12,-60.4285714285714,-56.5714285714286,-25.5714285714286,-9.57142857142857,-68.2857142857143,22.7142857142857
"Canada","",2020-04-19,-55.7142857142857,-53,-24.4285714285714,-13.4285714285714,-66.5714285714286,22.2857142857143
"Canada","",2020-04-26,-52.7142857142857,-50.7142857142857,-23.4285714285714,-2.57142857142857,-63.8571428571429,20.7142857142857
"Canada","",2020-05-03,-50.4285714285714,-47.2857142857143,-19,14.5714285714286,-60.5714285714286,18.5714285714286
"Canada","",2020-05-10,-47.2857142857143,-42.8571428571429,-12.4285714285714,19.1428571428571,-60,18
"Canada","",2020-05-17,-45.1428571428571,-40,-12.2857142857143,42,-56.8571428571429,16.7142857142857
"Canada","",2020-05-24,-44.8571428571429,-33.7142857142857,-7.28571428571429,79.5714285714286,-53.4285714285714,15.7142857142857
"Canada","",2020-05-31,-36.5714285714286,-28.8571428571429,-4.57142857142857,66.8571428571429,-50.2857142857143,14.1428571428571
"Canada","",2020-06-07,-34.1428571428571,-26.5714285714286,-3.57142857142857,91.4285714285714,-47.8571428571429,12.7142857142857
"Canada","",2020-06-14,-31.5714285714286,-22.8571428571429,-2.42857142857143,101.428571428571,-46.5714285714286,11.7142857142857
"Canada","",2020-06-21,-30,-18.8571428571429,2.14285714285714,130.571428571429,-43.4285714285714,9.71428571428571
"Canada","",2020-06-28,-32,-18.1428571428571,0,125.285714285714,-41.8571428571429,9.85714285714286
"Canada","",2020-07-05,-36.4285714285714,-14.4285714285714,3.28571428571429,166,-42.4285714285714,9
"Canada","",2020-07-12,-31,-13.4285714285714,2.71428571428571,135.142857142857,-42,8.71428571428571
"Canada","",2020-07-19,-30.8571428571429,-12.8571428571429,2.71428571428571,153.714285714286,-41.5714285714286,7.85714285714286
"Canada","",2020-07-26,-31.7142857142857,-12.2857142857143,3.14285714285714,173.857142857143,-41.1428571428571,7.71428571428571
"Canada","",2020-08-02,-33.8571428571429,-11.2857142857143,4.28571428571429,170.142857142857,-41.2857142857143,7.57142857142857
"Canada","",2020-08-09,-35.2857142857143,-12.4285714285714,0.714285714285714,170.714285714286,-41.5714285714286,7.85714285714286
"Canada","",2020-08-16,-31.1428571428571,-10.7142857142857,1.42857142857143,174,-40.1428571428571,6.57142857142857
"Canada","",2020-08-23,-30.2857142857143,-11,0.714285714285714,152.571428571429,-40.2857142857143,6.71428571428571
"Canada","",2020-08-30,-29.5714285714286,-10.2857142857143,1.14285714285714,131.714285714286,-40,6.71428571428571
"Canada","",2020-09-06,-30,-8.42857142857143,2.71428571428571,141.142857142857,-37.7142857142857,6
"Canada","",2020-09-13,-33.5714285714286,-14.5714285714286,-2.57142857142857,103.428571428571,-42.4285714285714,8
"Canada","",2020-09-20,-25,-11.7142857142857,-1.57142857142857,92.2857142857143,-40.8571428571429,7
"Canada","",2020-09-27,-24.4285714285714,-14.5714285714286,-1.57142857142857,86.7142857142857,-43,7.42857142857143
"Canada","",2020-10-04,-24.8571428571429,-16.2857142857143,-0.714285714285714,54.4285714285714,-44.5714285714286,8.42857142857143
"Canada","",2020-10-11,-25.4285714285714,-18.8571428571429,0.571428571428571,53.8571428571429,-45.4285714285714,8.71428571428571
"Canada","",2020-10-18,-31.1428571428571,-23.4285714285714,-6.57142857142857,45.8571428571429,-48.5714285714286,11.2857142857143
"Canada","",2020-10-25,-24.5714285714286,-20.1428571428571,-3.14285714285714,27.7142857142857,-46.1428571428571,10.1428571428571
"Canada","",2020-11-01,-24,-19.8571428571429,-1.57142857142857,11.7142857142857,-45.8571428571429,9.85714285714286
"Canada","",2020-11-08,-24.1428571428571,-21.1428571428571,-5.14285714285714,32.4285714285714,-46.7142857142857,10.1428571428571
"Canada","",2020-11-15,-28.1428571428571,-22.1428571428571,-4.85714285714286,15,-49.8571428571429,11.5714285714286
"Canada","",2020-11-22,-25.2857142857143,-23.4285714285714,-5.71428571428571,-5.14285714285714,-50.7142857142857,11.5714285714286
"Canada","",2020-11-29,-25.8571428571429,-24.1428571428571,-5.28571428571429,-4.28571428571429,-51.5714285714286,11.8571428571429
"Canada","",2020-12-06,-26.4285714285714,-25.2857142857143,-4.28571428571429,-5.14285714285714,-52,12.4285714285714
"Canada","",2020-12-13,-26.7142857142857,-25.5714285714286,-3.85714285714286,-10.5714285714286,-53.4285714285714,12.4285714285714
"Canada","",2020-12-20,-28.1428571428571,-24.8571428571429,-1.28571428571429,-11.2857142857143,-53.1428571428571,13
"Canada","",2020-12-27,-50.7142857142857,-34.7142857142857,-5.28571428571429,-1.57142857142857,-61.4285714285714,16.8571428571429
"Canada","",2021-01-03,-54.7142857142857,-42.1428571428571,-13.2857142857143,14.7142857142857,-65.7142857142857,20.1428571428571
"Canada","",2021-01-10,-35.5714285714286,-40.1428571428571,-11.1428571428571,3.57142857142857,-60.5714285714286,15.8571428571429
"Canada","",2021-01-17,-35.4285714285714,-44,-17,-4.57142857142857,-62.2857142857143,15.8571428571429
"Canada","",2021-01-24,-34.8571428571429,-43.8571428571429,-17.4285714285714,-8.85714285714286,-62.4285714285714,15.4285714285714
"Canada","",2021-01-31,-34,-43,-16.7142857142857,-10.5714285714286,-62.5714285714286,15.1428571428571
"Canada","",2021-02-07,-33.2857142857143,-42.5714285714286,-15.4285714285714,-6.85714285714286,-62.2857142857143,15.1428571428571
"Canada","",2021-02-14,-32.4285714285714,-36.4285714285714,-10.5714285714286,-13.7142857142857,-61,14.5714285714286
"Canada","",2021-02-21,-34.5714285714286,-35.1428571428571,-11.8571428571429,1.85714285714286,-59.8571428571429,14.7142857142857
